1,Matematika,3,2,0,1.00,7,1,Zimski,Arhitektura
2,Nacrtna geometrija 1,2,2,0,0.00,4,1,Zimski,Arhitektura
3,"Konstrukcije, materijali i građenje",4,1,0,0.00,5,1,Zimski,Arhitektura
4,Elementi i sklopovi zgrada 1,3,3,0,0.00,5,1,Zimski,Arhitektura
5,"Arhitektonska analiza, funkcije i tipologija 1",2,3,0,0.00,5,1,Zimski,Arhitektura
6,Uvod u arhitektonski dizajn,1,3,0,0.00,4,1,Zimski,Arhitektura
7,Nacrtna geometrija 2,2,2,0,0.00,4,1,Letnji,Arhitektura
8,Umetnost u kontekstu 1,2,0,0,0.00,2,1,Letnji,Arhitektura
9,Elementi i sklopovi zgrada 2,3,2,0,0.00,4,1,Letnji,Arhitektura
10,"Arhitektonska analiza, funkcije i tipologija 2",2,3,0,0.00,5,1,Letnji,Arhitektura
11,Uvod u istoriju arhitekture,2,0,0,0.00,2,1,Letnji,Arhitektura
12,Uvod u arhitektonsko projektovanje,1,2,0,1.00,4,1,Letnji,Arhitektura
13,Slobodoručno crtanje,1,2,0,0.00,2,1,Letnji,Arhitektura
14,Arhitektonske reprezentacije 1,1,0,2,0.00,4,1,Letnji,Arhitektura
15,Osnove tehnologije izvođenja radova,2,0,0,0.00,3,1,Letnji,Arhitektura
16,Umetnost u kontekstu 2,2,0,0,0.00,2,2,Zimski,Arhitektura
17,Uvod u urbanizam,2,3,0,0.00,5,2,Zimski,Arhitektura
18,Arhitektonske tehnologije,2,2,0,0.00,4,2,Zimski,Arhitektura
19,Stanovanje 1,2,3,0,1.00,5,2,Zimski,Arhitektura
20,Arhitektura i grad srednjeg veka,2,0,0,0.00,2,2,Zimski,Arhitektura
21,Mehanika,2,2,0,0.00,4,2,Zimski,Arhitektura
22,Arhitektonske reprezentacije 2,1,0,3,0.00,5,2,Zimski,Arhitektura
23,Izborna pozicija 1,1,2,0,0.00,3,2,Zimski,Arhitektura
24,Umetnost u kontekstu 3,2,0,0,0.00,2,2,Letnji,Arhitektura
25,Arhitektonska fizika,2,0,1,1.00,4,2,Letnji,Arhitektura
26,Arhitektura i grad novog doba,2,0,0,0.00,2,2,Letnji,Arhitektura
27,Otpornost materijala,2,2,0,1.00,5,2,Letnji,Arhitektura
28,Stanovanje 2,2,3,0,1.00,5,2,Letnji,Arhitektura
29,Grafički dizajn,1,0,2,0.00,3,2,Letnji,Arhitektura
